@relation pop

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coord_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas_num numeric
@attribute colons_and_semi_colons numeric
@attribute dash_num numeric
@attribute paren_num numeric
@attribute ellipses_num numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverb_num numeric
@attribute whwords_num numeric
@attribute slang_num numeric
@attribute all_in_upper_case_num numeric
@attribute avg_len_of_sentense numeric
@attribute avg_len_of_tokens numeric
@attribute num_of_sentense numeric
@attribute class {britneyspears,justinbieber,katyperry,ladygaga,rihanna,taylorswift13}

@data
0, 2, 0, 2, 2, 0, 0, 2, 1, 0, 0, 14, 3, 1, 0, 2, 0, 16.0, 4.6, 2,britneyspears
1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 16, 2, 1, 0, 1, 0, 6.6, 4.3076923076923075, 5,britneyspears
0, 0, 2, 1, 2, 0, 1, 0, 0, 0, 0, 4, 3, 2, 0, 0, 0, 10.0, 4.269230769230769, 3,britneyspears
0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 10, 2, 1, 0, 1, 0, 11.0, 5.055555555555555, 2,britneyspears
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 9.0, 4.0625, 2,britneyspears
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 1, 1, 0, 0, 0, 9.0, 5.466666666666667, 2,britneyspears
1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 5.5, 4.375, 2,britneyspears
1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 4, 1, 0, 0, 0, 7.0, 4.095238095238095, 4,britneyspears
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 4, 1, 1, 0, 0, 8.5, 4.230769230769231, 2,britneyspears
1, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 9, 1, 0, 0, 0, 0, 12.0, 4.045454545454546, 2,britneyspears
0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 7, 7, 1, 0, 0, 0, 15.0, 3.8333333333333335, 2,britneyspears
1, 2, 0, 0, 2, 0, 1, 1, 1, 0, 0, 8, 3, 2, 0, 1, 0, 8.0, 4.153846153846154, 4,britneyspears
2, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 9, 1, 2, 1, 2, 0, 13.5, 4.083333333333333, 2,britneyspears
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 4, 0, 0, 0, 0, 7.5, 4.5, 2,britneyspears
1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 6, 1, 0, 0, 0, 0, 6.333333333333333, 4.375, 3,britneyspears
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 1, 0, 0, 0, 9.5, 4.117647058823529, 2,britneyspears
2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 2, 0, 0, 0, 5.75, 4.666666666666667, 4,britneyspears
0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 3, 4, 0, 0, 0, 0, 17.0, 3.4615384615384617, 1,britneyspears
