@relation popvnews500

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coord_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas_num numeric
@attribute colons_and_semi_colons numeric
@attribute dash_num numeric
@attribute paren_num numeric
@attribute ellipses_num numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverb_num numeric
@attribute whwords_num numeric
@attribute slang_num numeric
@attribute all_in_upper_case_num numeric
@attribute avg_len_of_sentense numeric
@attribute avg_len_of_tokens numeric
@attribute num_of_sentense numeric
@attribute class {pop,news}

@data
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 6.0, 4.4, 1,pop
2, 0, 3, 1, 2, 0, 0, 0, 0, 0, 0, 8, 0, 2, 0, 1, 0, 9.5, 3.3548387096774195, 4,pop
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 8, 1, 0, 0, 0, 0, 7.666666666666667, 4.571428571428571, 3,pop
0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 3, 0, 1, 0, 0, 0, 4.333333333333333, 4.25, 3,pop
0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 24.0, 3.142857142857143, 1,pop
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 1, 0, 0, 0, 0, 7.75, 4.0, 4,pop
0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 8, 0, 1, 0, 0, 0, 8.5, 5.857142857142857, 2,pop
6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 2, 3, 0, 1, 0, 6.5, 4.521739130434782, 4,pop
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 7.5, 4.846153846153846, 2,pop
0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 5, 2, 1, 0, 1, 0, 7.666666666666667, 4.588235294117647, 3,pop
0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 12, 1, 1, 0, 1, 0, 6.75, 4.9523809523809526, 4,pop
1, 0, 2, 0, 3, 0, 0, 0, 0, 2, 0, 8, 0, 1, 1, 0, 0, 32.0, 3.793103448275862, 1,pop
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 0, 1, 0, 6.666666666666667, 5.117647058823529, 3,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2.0, 9.0, 2,pop
1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 11.5, 3.9, 2,pop
2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 9.333333333333334, 4.041666666666667, 3,pop
2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 8, 0, 1, 0, 0, 0, 5.4, 3.260869565217391, 5,pop
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 0, 0, 1, 0, 7.5, 8.076923076923077, 2,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3.0, 13.5, 1,pop
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5.0, 6.545454545454546, 3,pop
2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 9.0, 4.3125, 2,pop
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 1, 0, 6.0, 5.8, 1,pop
3, 0, 0, 1, 1, 0, 1, 0, 1, 0, 2, 8, 1, 0, 0, 0, 0, 8.666666666666666, 3.9545454545454546, 3,pop
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 1, 2, 0, 0, 0, 10.333333333333334, 3.8214285714285716, 3,pop
1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 13.0, 3.857142857142857, 1,pop
2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 9, 0, 1, 1, 0, 0, 4.666666666666667, 4.25, 6,pop
0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 11, 1, 2, 0, 0, 0, 14.0, 4.52, 2,pop
1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 8.0, 3.4, 1,pop
0, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 10.5, 4.9411764705882355, 2,pop
2, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 5, 0, 1, 0, 0, 0, 14.0, 4.115384615384615, 2,pop
1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5.0, 5.0, 2,pop
0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 1, 6, 0, 1, 0, 0, 0, 6.0, 4.538461538461538, 3,pop
0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 8, 2, 1, 0, 0, 0, 27.0, 4.181818181818182, 1,pop
0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 6, 0, 0, 1, 2, 0, 9.5, 3.933333333333333, 2,pop
0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 4, 7, 0, 0, 0, 0, 11.5, 4.190476190476191, 2,pop
2, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 10, 0, 5, 0, 3, 0, 7.6, 3.5, 5,pop
1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 10, 0, 2, 0, 0, 0, 6.5, 4.7368421052631575, 4,pop
0, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 9, 0, 1, 0, 0, 0, 8.0, 5.5, 3,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 5.0, 3.25, 1,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 1, 0, 0, 0, 10.0, 4.2105263157894735, 2,pop
2, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 6, 0, 3, 0, 0, 0, 11.666666666666666, 3.5161290322580645, 3,pop
